ID,Grupo,ESTRUTURA,OCUPACAO,Banheiros,Uso,Esgoto,AREA,VV2001,VV2007
57,comparacao,Concreto,Residencial,Interna,Próprio,Sim,86.11,6733.62065391943,16067.089802206
58,comparacao,Concreto,Residencial,Interna,Próprio,Sim,285.11,4289.15296927936,22207.5310805936
59,comparacao,Concreto,Residencial,Interna,Próprio,Sim,107.97,3635.59953201536,16817.3593382656
60,comparacao,Madeira,Residencial,Sem,Próprio,Não,122.1,3213.07887639793,10065.7595193425
61,comparacao,Concreto,Residencial,Sem,Próprio,Não,123.88,2816.75667624114,12754.4704132665
62,comparacao,Concreto,Residencial,Interna,Próprio,Não,82.25,6006.95152467519,25454.5005348154
63,comparacao,Madeira,Residencial,Externa,Próprio,Não,117.96,2067.17733376627,8513.64086264549
64,comparacao,Madeira,Residencial,Interna,Próprio,Não,110,1620.9555730368,6782.9517637376
65,comparacao,Concreto,Residencial,Interna,Próprio,Sim,73.76,4440.8669338357,15746.0813366214
66,comparacao,Concreto,Residencial,Interna,Próprio,Não,180.57,4505.90115359711,23447.3139725038
67,comparacao,Concreto,Residencial,Interna,Próprio,Não,95.2,9528.80395951411,40094.9122061811
68,comparacao,Madeira,Residencial,Externa,Próprio,Não,212.54,2850.98845271166,9359.99449237037
69,comparacao,Concreto,Residencial,Externa,Próprio,Não,185.26,3875.49478402995,19801.2483824956
70,comparacao,Alvenaria,Residencial,Interna,Próprio,Não,180.37,3200.83841971057,13532.6127236936
1,projeto,Madeira,Residencial,Interna,alugado,Não, 42.6610299999999 ,1511.15476134679,2305.09757787139
2,projeto,Alvenaria,Residencial,Interna,Próprio,Não, 63.449474 ,8481.58758791064,12937.7132676818
3,projeto,Madeira,Residencial,Interna,Próprio,Não, 16.7462699999999 ,2948.34432737407,4497.36952269787
4,projeto,Madeira,Residencial,Externa,Próprio,Não, 31.662928 ,3303.97380335532,5039.84251399722
5,projeto,Alvenaria,Residencial,Interna,Próprio,Não, 10.114105 ,2554.58235901014,3896.72967908276
6,projeto,Alvenaria,Residencial,Interna,Próprio,Não, 19.7431699999999 ,3482.95256775123,5312.85460174112
7,projeto,Madeira,Residencial,Externa,Próprio,Não, 19.451764 ,2091.57480830205,3190.4634441657
8,projeto,Alvenaria,Residencial,Externa,Próprio,Não, 48.07623 ,4734.48876521035,7221.93309665998
9,projeto,Alvenaria,Residencial,Interna,Próprio,Não, 68.4238979999999 ,5679.89187971739,8664.03981207013
10,projeto,Madeira,Residencial,Interna,Próprio,Não, 53.239908 ,2011.4969012799,3068.31355307628
11,projeto,Madeira,Residencial,Externa,Próprio,Não, 23.304727 ,1964.23184574162,2996.21599707073
12,projeto,Madeira,Residencial,Sem,Próprio,Não, 69.585345 ,2028.47095973311,3094.2055808341
13,projeto,Alvenaria,Residencial,Interna,Próprio,Não, 39.9298 ,7522.1722726862,11474.2325072297
14,projeto,Alvenaria,Residencial,Externa,Próprio,Não, 37.6661399999999 ,4815.13928708202,7344.95644765996
15,projeto,Alvenaria,Residencial,Interna,Próprio,Não, 42.354585 ,7386.81272402699,11267.756654632
16,projeto,Alvenaria,Residencial,Interna,Próprio,Não, 42.354585 ,2656.8,4052.65125818791
17,projeto,Madeira,Residencial,Interna,Próprio,Não, 42.2516249999999 ,3054.20287548157,4658.84489840467
18,projeto,Alvenaria,Residencial,Sem,Próprio,Não, 22.91405 ,4935.73579079968,7528.9129263277
19,projeto,Alvenaria,misto,Interna,alugado,Não, 55.525913 ,10198.2909972,15556.3523190187
20,projeto,Alvenaria,Residencial,Interna,Próprio,Não, 40.8937919999999 ,6041.68530879861,9215.91522443469
21,projeto,Alvenaria,Residencial,Interna,Próprio,Não, 51.2861499999999 ,6272.87718723857,9568.57257803396
22,projeto,Alvenaria,Residencial,Externa,Próprio,Não, 44.8879499999999 ,3089.77680460515,4713.10894862348
23,projeto,Madeira,Residencial,Externa,Próprio,Não, 43.055466 ,5070.14603967694,7733.94072827957
24,projeto,Alvenaria,Residencial,Interna,Próprio,Não, 43.4588579999999 ,6778.14865713057,10339.307694785
